Metric Name, Min, Max, Mean, Median, P95
service_sla-0, 0.217330, 17.248046, 1.722593, 0.631567, 7.478070
service_sla-1, 0.200030, 17.232301, 1.717650, 0.557529, 7.328783
service_sla-2, 0.303759, 17.009256, 1.701140, 0.609340, 7.499922
service_sla-3, 0.242947, 17.206272, 1.733925, 0.677852, 7.359955
service_sla-4, 0.351341, 17.025757, 1.773236, 0.637908, 7.460129
service_cpm-0, 0.234276, 17.059524, 1.771907, 0.650129, 7.543280
service_cpm-1, 0.208758, 17.161128, 1.777637, 0.667781, 7.469361
service_cpm-2, 0.283235, 17.146199, 1.773843, 0.604210, 7.499294
service_cpm-3, 0.293251, 17.206308, 1.728031, 0.582503, 7.536505
service_cpm-4, 0.302844, 17.074875, 1.744644, 0.603514, 7.469114
service_resp_time-0, 0.344346, 17.104493, 1.727060, 0.622067, 7.371838
service_resp_time-1, 0.263710, 16.979962, 1.748187, 0.724822, 7.467024
service_resp_time-2, 0.334496, 16.998169, 1.728182, 0.598388, 7.456742
service_resp_time-3, 0.274911, 17.313006, 1.763170, 0.619133, 7.459521
service_resp_time-4, 0.273522, 17.301832, 1.740401, 0.668623, 7.461367
service_apdex-0, 0.381994, 17.301737, 1.765967, 0.628950, 7.398519
service_apdex-1, 0.317358, 17.174660, 1.758003, 0.684345, 7.505990
service_apdex-2, 0.325943, 17.041263, 1.737761, 0.627064, 7.517629
service_apdex-3, 0.266309, 16.979859, 1.737274, 0.615326, 7.537078
service_apdex-4, 0.225293, 17.119364, 1.746960, 0.599510, 7.513121
service_sidecar_internal_req_latency_nanos-0, 0.249144, 17.131847, 1.740646, 0.644484, 7.359573
service_sidecar_internal_req_latency_nanos-1, 0.283494, 17.268396, 1.745426, 0.583140, 7.524799
service_sidecar_internal_req_latency_nanos-2, 0.312472, 17.220569, 1.741101, 0.640733, 7.480488
service_sidecar_internal_req_latency_nanos-3, 0.257590, 17.092723, 1.762823, 0.635335, 7.524804
service_sidecar_internal_req_latency_nanos-4, 0.193831, 16.979938, 1.650603, 0.521758, 7.467715
