Metric Name, Min, Max, Mean, Median, P95
service_instance_resp_time-0, 0.031601, 1.624375, 0.483797, 0.422209, 1.435067
service_instance_resp_time-1, 0.063530, 1.020392, 0.452525, 0.377900, 0.979073
service_instance_resp_time-2, 0.059344, 1.556508, 0.514763, 0.476728, 1.110716
service_instance_resp_time-3, 0.092837, 1.386804, 0.497742, 0.431267, 1.303294
service_instance_resp_time-4, 0.060059, 1.903490, 0.432392, 0.363725, 0.951330
service_instance_cpm-0, 0.067324, 1.812999, 0.461119, 0.377153, 1.103778
service_instance_cpm-1, 0.046004, 2.091915, 0.518441, 0.399874, 1.314685
service_instance_cpm-2, 0.063309, 1.289895, 0.498357, 0.467476, 1.074483
service_instance_cpm-3, 0.067565, 1.748079, 0.573625, 0.496797, 1.301329
service_instance_cpm-4, 0.056015, 1.929993, 0.460846, 0.427681, 0.765719
