Metric Name, Min, Max, Mean, Median, P95
service_sla-0, 0.252876, 24.179094, 3.170050, 0.535132, 19.023932
service_sla-1, 0.258725, 24.235556, 3.140592, 0.580459, 19.051634
service_sla-2, 0.234404, 24.194557, 3.201682, 0.643860, 19.104281
service_sla-3, 0.275087, 24.277318, 3.138375, 0.568175, 19.109762
service_sla-4, 0.300614, 24.231562, 3.196778, 0.622270, 19.107784
service_cpm-0, 0.252766, 24.152065, 3.207074, 0.663966, 18.956900
service_cpm-1, 0.252428, 24.092247, 3.148829, 0.544093, 19.072465
service_cpm-2, 0.263986, 24.126144, 3.176397, 0.614948, 19.008485
service_cpm-3, 0.285623, 24.205288, 3.218868, 0.649817, 19.149580
service_cpm-4, 0.356229, 24.261298, 3.208099, 0.617134, 19.158545
service_resp_time-0, 0.389726, 24.248222, 3.236450, 0.701914, 19.027751
service_resp_time-1, 0.275146, 24.217480, 3.181875, 0.625123, 18.947118
service_resp_time-2, 0.188018, 24.123997, 3.179803, 0.628423, 19.096424
service_resp_time-3, 0.222767, 24.291801, 3.149962, 0.589167, 19.037559
service_resp_time-4, 0.308406, 24.113095, 3.210169, 0.728643, 19.061829
service_apdex-0, 0.282433, 24.100361, 3.194391, 0.640907, 19.002628
service_apdex-1, 0.334955, 24.263482, 3.237133, 0.645175, 19.061731
service_apdex-2, 0.300822, 24.191411, 3.184772, 0.696639, 19.096217
service_apdex-3, 0.252699, 24.001242, 3.183968, 0.615118, 18.971778
service_apdex-4, 0.267556, 24.166553, 3.240809, 0.712851, 19.125125
service_sidecar_internal_req_latency_nanos-0, 0.252735, 24.058546, 3.186423, 0.664598, 18.957737
service_sidecar_internal_req_latency_nanos-1, 0.252665, 24.275849, 3.197217, 0.593941, 19.003289
service_sidecar_internal_req_latency_nanos-2, 0.324371, 24.287593, 3.232038, 0.676270, 19.092954
service_sidecar_internal_req_latency_nanos-3, 0.257976, 24.300674, 3.213025, 0.765710, 19.116349
service_sidecar_internal_req_latency_nanos-4, 0.296124, 24.138684, 3.151987, 0.529342, 18.962441
