Metric Name, Min, Max, Mean, Median, P95
service_instance_resp_time-0, 0.054033, 0.962902, 0.415982, 0.425587, 0.859903
service_instance_resp_time-1, 0.052617, 0.778578, 0.372748, 0.353562, 0.744627
service_instance_resp_time-2, 0.037179, 1.229533, 0.377577, 0.317289, 0.733440
service_instance_resp_time-3, 0.099071, 0.881728, 0.447063, 0.456330, 0.832534
service_instance_resp_time-4, 0.061630, 0.840106, 0.310414, 0.249722, 0.655671
service_instance_cpm-0, 0.055419, 0.973034, 0.428878, 0.428251, 0.784183
service_instance_cpm-1, 0.044327, 0.704909, 0.401410, 0.386440, 0.624791
service_instance_cpm-2, 0.063300, 0.798983, 0.329137, 0.236693, 0.740957
service_instance_cpm-3, 0.051453, 0.921407, 0.361604, 0.303094, 0.669885
service_instance_cpm-4, 0.054445, 1.094533, 0.330933, 0.219304, 0.821314
