Metric Name, Min, Max, Mean, Median, P95
service_sla-0, 0.020994, 0.999631, 0.277995, 0.224811, 0.829426
service_sla-1, 0.049664, 1.492022, 0.328192, 0.249640, 0.757140
service_sla-2, 0.039067, 1.639622, 0.351580, 0.195053, 1.096063
service_sla-3, 0.042736, 0.848242, 0.349322, 0.344317, 0.694244
service_sla-4, 0.042362, 0.786183, 0.345055, 0.283349, 0.702799
service_sla-5, 0.045451, 1.269477, 0.324352, 0.272023, 0.687939
service_sla-6, 0.013528, 0.814146, 0.416708, 0.435723, 0.774023
service_sla-7, 0.049223, 0.901661, 0.370850, 0.301687, 0.823503
service_sla-8, 0.068511, 0.764999, 0.326139, 0.261912, 0.730571
service_sla-9, 0.057840, 0.853467, 0.374190, 0.344943, 0.735152
service_sla-10, 0.048938, 1.279547, 0.417988, 0.407070, 0.833094
service_sla-11, 0.082659, 1.485573, 0.488826, 0.479232, 0.830445
service_sla-12, 0.056645, 1.490408, 0.422733, 0.394381, 0.684743
service_sla-13, 0.029723, 1.230508, 0.409827, 0.360684, 0.859752
service_sla-14, 0.031687, 1.531615, 0.419572, 0.393860, 0.800807
service_sla-15, 0.063502, 0.860270, 0.427970, 0.445892, 0.789152
service_sla-16, 0.044857, 0.725453, 0.355728, 0.363564, 0.664545
service_sla-17, 0.091139, 1.013207, 0.428944, 0.363770, 0.866345
service_sla-18, 0.040657, 1.289249, 0.479177, 0.436447, 1.085206
service_sla-19, 0.069851, 1.497329, 0.505047, 0.470794, 0.960346
service_sla-20, 0.067002, 1.511202, 0.439537, 0.366166, 0.881180
service_sla-21, 0.040976, 1.095965, 0.473047, 0.495217, 0.847873
service_sla-22, 0.061880, 1.215696, 0.478342, 0.434460, 0.892860
service_sla-23, 0.094232, 1.589308, 0.484495, 0.420316, 1.015065
service_sla-24, 0.097160, 1.259189, 0.519539, 0.515454, 0.905452
service_sla-25, 0.036207, 1.324234, 0.445328, 0.458877, 0.753924
service_sla-26, 0.045923, 1.043672, 0.401957, 0.376212, 0.835429
service_sla-27, 0.098847, 1.334713, 0.501347, 0.492949, 0.814512
service_sla-28, 0.069384, 1.393646, 0.486936, 0.480471, 0.953150
service_sla-29, 0.094610, 0.967659, 0.450170, 0.405455, 0.879081
service_sla-30, 0.031093, 1.559413, 0.444541, 0.365877, 0.912953
service_sla-31, 0.075058, 1.436338, 0.471589, 0.491545, 0.820626
service_cpm-0, 0.062288, 1.560731, 0.537507, 0.461348, 1.344229
service_cpm-1, 0.144609, 0.815071, 0.457008, 0.493239, 0.740016
service_cpm-2, 0.097212, 1.448854, 0.536365, 0.479504, 1.307229
service_cpm-3, 0.040349, 0.999477, 0.520567, 0.522225, 0.915490
service_cpm-4, 0.074963, 0.860768, 0.442298, 0.424816, 0.772620
service_cpm-5, 0.043235, 0.910331, 0.402276, 0.400857, 0.789702
service_cpm-6, 0.056211, 1.028618, 0.430158, 0.415711, 0.862443
service_cpm-7, 0.076642, 1.509489, 0.483568, 0.430984, 1.101533
service_cpm-8, 0.036765, 1.523553, 0.415034, 0.365209, 0.876965
service_cpm-9, 0.110623, 1.463626, 0.526199, 0.523283, 1.140411
service_cpm-10, 0.150898, 1.079310, 0.445444, 0.389191, 0.910305
service_cpm-11, 0.051576, 1.617892, 0.504828, 0.453912, 1.072118
service_cpm-12, 0.064835, 1.535957, 0.506199, 0.448470, 1.068391
service_cpm-13, 0.078753, 0.894013, 0.436227, 0.471375, 0.769435
service_cpm-14, 0.094449, 1.512229, 0.432251, 0.393975, 0.788002
service_cpm-15, 0.136356, 0.974909, 0.412535, 0.390131, 0.665484
service_cpm-16, 0.081095, 0.744058, 0.385401, 0.388262, 0.644066
service_cpm-17, 0.036134, 0.975428, 0.435597, 0.449226, 0.822272
service_cpm-18, 0.083934, 0.877913, 0.426588, 0.433925, 0.811699
service_cpm-19, 0.130989, 1.497731, 0.522456, 0.491642, 0.956020
service_cpm-20, 0.071342, 1.529713, 0.476199, 0.439548, 0.833813
service_cpm-21, 0.108205, 1.519251, 0.453607, 0.422039, 0.957457
service_cpm-22, 0.084907, 1.016104, 0.466675, 0.496056, 0.860709
service_cpm-23, 0.071787, 1.544229, 0.467009, 0.423019, 1.062736
service_cpm-24, 0.031624, 0.835774, 0.404035, 0.374877, 0.794887
service_cpm-25, 0.089117, 0.720785, 0.354117, 0.338513, 0.577060
service_cpm-26, 0.062791, 1.437468, 0.495632, 0.495274, 0.864675
service_cpm-27, 0.116864, 0.995519, 0.471195, 0.424174, 0.926592
service_cpm-28, 0.100322, 1.409452, 0.515277, 0.469941, 1.149664
service_cpm-29, 0.132295, 1.330656, 0.501002, 0.474844, 0.930824
service_cpm-30, 0.089649, 0.955369, 0.474826, 0.496552, 0.810656
service_cpm-31, 0.045292, 1.404557, 0.436530, 0.424545, 0.718033
service_resp_time-0, 0.043670, 1.545530, 0.481887, 0.461682, 0.829257
service_resp_time-1, 0.049479, 1.551420, 0.474856, 0.439833, 1.054267
service_resp_time-2, 0.152831, 0.868827, 0.440104, 0.413366, 0.800517
service_resp_time-3, 0.127073, 1.341923, 0.501218, 0.476618, 0.825168
service_resp_time-4, 0.061295, 0.984284, 0.433989, 0.416192, 0.725908
service_resp_time-5, 0.106310, 1.109490, 0.437830, 0.462273, 0.918789
service_resp_time-6, 0.114471, 0.956601, 0.509589, 0.457720, 0.925109
service_resp_time-7, 0.070262, 0.947705, 0.461214, 0.440385, 0.785062
service_resp_time-8, 0.047884, 0.926950, 0.451364, 0.460871, 0.881722
service_resp_time-9, 0.073354, 1.115634, 0.461059, 0.466628, 0.850199
service_resp_time-10, 0.106990, 1.005777, 0.459616, 0.475409, 0.793908
service_resp_time-11, 0.118777, 1.110939, 0.511834, 0.496982, 0.924091
service_resp_time-12, 0.054110, 1.004111, 0.500171, 0.455103, 0.984653
service_resp_time-13, 0.172735, 1.128296, 0.499824, 0.470252, 0.877479
service_resp_time-14, 0.048352, 1.569595, 0.503179, 0.458962, 1.129656
service_resp_time-15, 0.150759, 1.260257, 0.500924, 0.490517, 0.834009
service_resp_time-16, 0.071997, 1.286344, 0.512622, 0.520932, 0.846938
