Metric Name, Min, Max, Mean, Median, P95
service_instance_resp_time-0, 0.051605, 0.897506, 0.239563, 0.145796, 0.692446
service_instance_resp_time-1, 0.036949, 0.682628, 0.196507, 0.157872, 0.453944
service_instance_resp_time-2, 0.010321, 0.670900, 0.209184, 0.164581, 0.596812
service_instance_resp_time-3, 0.043477, 1.142800, 0.228463, 0.161953, 0.587692
service_instance_resp_time-4, 0.043469, 0.685017, 0.198915, 0.137363, 0.638870
service_instance_resp_time-5, 0.058059, 0.628206, 0.195514, 0.134451, 0.577931
service_instance_resp_time-6, 0.062258, 0.693972, 0.206084, 0.157409, 0.504226
service_instance_resp_time-7, 0.069166, 0.893123, 0.204657, 0.154628, 0.542623
service_instance_resp_time-8, 0.012583, 0.653011, 0.215749, 0.195017, 0.456956
service_instance_resp_time-9, 0.034501, 0.689726, 0.186323, 0.135717, 0.466754
service_instance_resp_time-10, 0.066360, 0.675322, 0.212032, 0.161710, 0.468488
service_instance_resp_time-11, 0.060470, 1.143278, 0.216988, 0.161418, 0.454936
service_instance_resp_time-12, 0.049489, 0.571383, 0.198402, 0.165225, 0.493610
service_instance_resp_time-13, 0.041048, 0.841226, 0.215937, 0.150167, 0.420096
service_instance_resp_time-14, 0.028625, 1.142266, 0.217500, 0.162020, 0.479969
service_instance_resp_time-15, 0.032010, 1.095813, 0.232374, 0.156446, 0.708608
service_instance_resp_time-16, 0.043540, 0.636142, 0.210452, 0.153476, 0.498942
service_instance_resp_time-17, 0.057936, 0.683767, 0.217472, 0.184410, 0.611379
service_instance_resp_time-18, 0.074343, 0.860271, 0.253876, 0.169139, 0.606996
service_instance_resp_time-19, 0.045842, 0.569624, 0.185437, 0.156625, 0.454879
service_instance_resp_time-20, 0.054482, 0.675310, 0.183011, 0.144270, 0.488820
service_instance_resp_time-21, 0.057517, 0.725518, 0.173206, 0.141206, 0.449166
service_instance_resp_time-22, 0.048697, 1.216993, 0.221006, 0.140904, 0.643554
service_instance_resp_time-23, 0.040746, 0.858314, 0.224281, 0.147786, 0.684872
service_instance_resp_time-24, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-25, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-26, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-27, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-28, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-29, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-30, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-31, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-0, 0.042596, 0.956371, 0.232331, 0.167088, 0.593823
service_instance_cpm-1, 0.055283, 1.141116, 0.259594, 0.200646, 0.693205
service_instance_cpm-2, 0.069004, 1.208136, 0.264072, 0.175775, 0.890185
service_instance_cpm-3, 0.026415, 0.617016, 0.187341, 0.132928, 0.450609
service_instance_cpm-4, 0.061851, 1.210320, 0.271021, 0.177980, 0.682140
service_instance_cpm-5, 0.061739, 1.189761, 0.245188, 0.145135, 0.660165
service_instance_cpm-6, 0.067022, 0.909299, 0.237531, 0.196065, 0.530674
service_instance_cpm-7, 0.051341, 0.668360, 0.207862, 0.184817, 0.487635
service_instance_cpm-8, 0.050710, 0.683445, 0.215952, 0.152199, 0.523272
service_instance_cpm-9, 0.059037, 0.860451, 0.216128, 0.151353, 0.610286
service_instance_cpm-10, 0.058491, 0.660642, 0.171974, 0.117909, 0.430895
service_instance_cpm-11, 0.040728, 0.688490, 0.199969, 0.134438, 0.552095
service_instance_cpm-12, 0.056658, 0.633810, 0.186134, 0.155675, 0.466004
service_instance_cpm-13, 0.039574, 0.567579, 0.191971, 0.160674, 0.428175
service_instance_cpm-14, 0.071579, 0.680889, 0.196469, 0.145986, 0.402783
service_instance_cpm-15, 0.049603, 1.208368, 0.226193, 0.137182, 0.581649
service_instance_cpm-16, 0.039638, 1.132554, 0.251653, 0.184365, 0.602952
service_instance_cpm-17, 0.069458, 1.132004, 0.244489, 0.157815, 0.506253
service_instance_cpm-18, 0.061667, 1.142522, 0.262974, 0.155196, 0.631567
service_instance_cpm-19, 0.032228, 1.142140, 0.245892, 0.155590, 0.542431
service_instance_cpm-20, 0.039194, 0.633237, 0.215361, 0.168695, 0.523358
service_instance_cpm-21, 0.049287, 1.131911, 0.245076, 0.159136, 0.608731
service_instance_cpm-22, 0.030015, 0.696536, 0.211426, 0.185081, 0.467722
service_instance_cpm-23, 0.044941, 1.196346, 0.211627, 0.131110, 0.600968
service_instance_cpm-24, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-25, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-26, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-27, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-28, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-29, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-30, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-31, NaN, NaN, NaN, NaN, NaN
