data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test CPUUtilization Average 60
Label,CPUUtilization
2024/02/27 06:11:00,46
2024/02/27 06:12:00,80
2024/02/27 06:13:00,59
2024/02/27 06:14:00,69
2024/02/27 06:15:00,78
2024/02/27 06:16:00,48
2024/02/27 06:17:00,60
2024/02/27 06:18:00,49
2024/02/27 06:19:00,87
2024/02/27 06:20:00,70
2024/02/27 06:21:00,67
2024/02/27 06:22:00,68
2024/02/27 06:23:00,54
2024/02/27 06:24:00,75
2024/02/27 06:25:00,79
2024/02/27 06:26:00,55
2024/02/27 06:27:00,76
2024/02/27 06:28:00,55
2024/02/27 06:29:00,55
2024/02/27 06:30:00,58
2024/02/27 06:31:00,85
2024/02/27 06:32:00,72
2024/02/27 06:33:00,61
2024/02/27 06:34:00,57
2024/02/27 06:35:00,74
2024/02/27 06:36:00,85
2024/02/27 06:37:00,65
2024/02/27 06:38:00,62
2024/02/27 06:39:00,54
