data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test IndexingRate Average 60
Label,IndexingRate
2024/02/27 06:11:00,101192
2024/02/27 06:12:00,84510
2024/02/27 06:13:00,66665
2024/02/27 06:14:00,134046
2024/02/27 06:15:00,69664
2024/02/27 06:16:00,112487
2024/02/27 06:17:00,73662
2024/02/27 06:18:00,90681
2024/02/27 06:19:00,96054
2024/02/27 06:20:00,67585
2024/02/27 06:21:00,117917
2024/02/27 06:22:00,77600
2024/02/27 06:23:00,99231
2024/02/27 06:24:00,87831
2024/02/27 06:25:00,70020
2024/02/27 06:26:00,117107
2024/02/27 06:27:00,71405
2024/02/27 06:28:00,138989
2024/02/27 06:29:00,73627
2024/02/27 06:30:00,37674
2024/02/27 06:31:00,117568
2024/02/27 06:32:00,75706
2024/02/27 06:33:00,139717
2024/02/27 06:34:00,72948
2024/02/27 06:35:00,56972
2024/02/27 06:36:00,128468
2024/02/27 06:37:00,66478
2024/02/27 06:38:00,144878
2024/02/27 06:39:00,62969
