data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test SearchRate Average 60
Label,SearchRate
2024/02/27 06:12:00,975
2024/02/27 06:13:00,985
2024/02/27 06:14:00,965
2024/02/27 06:15:00,945
2024/02/27 06:16:00,975
2024/02/27 06:17:00,975
2024/02/27 06:18:00,975
2024/02/27 06:19:00,947
2024/02/27 06:20:00,983
2024/02/27 06:21:00,925
2024/02/27 06:22:00,995
2024/02/27 06:23:00,985
2024/02/27 06:24:00,955
2024/02/27 06:25:00,945
2024/02/27 06:26:00,965
2024/02/27 06:27:00,985
2024/02/27 06:28:00,965
2024/02/27 06:29:00,974
2024/02/27 06:30:00,975
2024/02/27 06:31:00,915
2024/02/27 06:32:00,995
2024/02/27 06:33:00,975
2024/02/27 06:34:00,966
2024/02/27 06:35:00,945
2024/02/27 06:36:00,955
2024/02/27 06:37:00,1005
2024/02/27 06:38:00,975
2024/02/27 06:39:00,995
